basin,NSE
01022500,0.9535769820213318
01031500,0.9591981023550034
01047000,0.9545527882874012
01052500,0.9434392750263214
01054200,0.9044472053647041
01055000,0.9462008401751518
01057000,0.9569277167320251
01073000,0.9493249505758286
01078000,0.9595796056091785
01123000,0.940343551337719
01134500,0.9078047126531601
01137500,0.943273164331913
01139000,0.9425694346427917
01139800,0.9243075326085091
01142500,0.9515605978667736
01144000,0.9627178721129894
01162500,0.9586846753954887
01169000,0.9336426258087158
01170100,0.9410155415534973
01181000,0.9536984339356422
01187300,0.9282353222370148
01195100,0.8926187083125114
01333000,0.9003859013319016
01350000,0.9498479999601841
01350080,0.9221890717744827
01350140,0.9131572023034096
01365000,0.8800762966275215
01411300,0.9041068032383919
01413500,0.9508289843797684
01414500,0.8884344846010208
01415000,0.8957100957632065
01423000,0.9471195004880428
01434025,0.9192097336053848
01435000,0.9328681901097298
01439500,0.9573437310755253
01440000,0.9494285583496094
01440400,0.957177396863699
01451800,0.9340270236134529
01466500,0.9141764938831329
01484100,0.8966334387660027
01487000,0.918826088309288
01491000,0.9062406346201897
01510000,0.9432703480124474
01516500,0.9387184493243694
01518862,0.9435355998575687
01532000,0.9459166638553143
01539000,0.9577966593205929
01542810,0.9117746949195862
01543000,0.9623508006334305
01543500,0.965436551719904
01544500,0.9537162035703659
01545600,0.9290021732449532
01547700,0.9028946086764336
01548500,0.9715675748884678
01549500,0.9422288686037064
01550000,0.9328556135296822
01552000,0.9565210714936256
01552500,0.9328094348311424
01557500,0.9160016775131226
01567500,0.9277529865503311
01568000,0.9503355473279953
01580000,0.8985023498535156
01583500,0.8603322952985764
01586610,0.8910541161894798
01591400,0.869265228509903
01594950,0.8885909244418144
01596500,0.9219992682337761
01605500,0.9547152481973171
01606500,0.9436262510716915
01632000,0.8956974446773529
01632900,0.9335818514227867
01634500,0.9428922832012177
01638480,0.9376458115875721
01639500,0.9126591235399246
01644000,0.9517194442451
01664000,0.9438028559088707
01666500,0.9441210478544235
01667500,0.9405800625681877
01669000,0.863116517663002
01669520,0.8456172049045563
02011400,0.9552899748086929
02013000,0.9303447678685188
02014000,0.936732143163681
02015700,0.9140900522470474
02016000,0.9359157308936119
02017500,0.934583842754364
02018000,0.9398257881402969
02027000,0.9290411174297333
02027500,0.926728643476963
02028500,0.9341136738657951
02038850,0.9059107527136803
02046000,0.9377504996955395
02051500,0.9296715557575226
02053200,0.9376642815768719
02053800,0.9295796006917953
02055100,0.9466472193598747
02056900,0.9263543486595154
02059500,0.859984502196312
02064000,0.9415127821266651
02065500,0.933562159538269
02069700,0.8858679682016373
02070000,0.8742348402738571
02074500,0.8337787091732025
02077200,0.930910550057888
02081500,0.9146525710821152
02082950,0.9131679236888885
02092500,0.9374679774045944
02096846,0.8760505318641663
02102908,0.8199080675840378
02108000,0.9247667789459229
02111180,0.9498118348419666
02111500,0.9445690363645554
02112120,0.8925328105688095
02112360,0.8870053589344025
02118500,0.9300408661365509
